edad,coste,antig_c,expos,nsin,marca,alarma,sexo,zona,uso
29,0,10,0.611,0,VOLKSWAGEN,no,F,Rural,Trabajo - uso cotidiano
42,2279.58,21,0.9945,1,NISSAN,si,M,Rural,Trabajo - uso ocasional
43,0,22,0.874,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
44,0,23,0.9863,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
45,0,24,0.9973,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
46,0,25,1,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
47,0,26,0.9973,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
48,0,27,0.6219,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
48,0,27,0.3726,0,NISSAN,no,M,Rural,Trabajo - uso ocasional
50,0,29,1,0,NISSAN,no,M,Rural,Trabajo - uso ocasional
49,0,20,1,0,HONDA,si,M,Semi urbano,Trabajo - uso ocasional
51,2814.17,22,0.2438,1,HONDA,si,M,Semi urbano,Trabajo - uso ocasional
51,0,22,0.5644,0,HONDA,si,M,Semi urbano,Trabajo - uso ocasional
52,0,23,0.1836,0,HONDA,no,M,Semi urbano,Trabajo - uso ocasional
53,2136.86,24,1,1,HONDA,no,M,Semi urbano,Trabajo - uso ocasional
54,0,25,0.9973,0,HONDA,no,M,Semi urbano,Trabajo - uso ocasional
56,0,21,1,0,TOYOTA,si,M,Semi urbano,Trabajo - uso ocasional
57,0,22,0.9973,0,TOYOTA,si,M,Semi urbano,Trabajo - uso ocasional
58,0,23,0.9973,0,TOYOTA,si,M,Semi urbano,Trabajo - uso ocasional
59,0,24,0.9973,0,TOYOTA,si,M,Semi urbano,Trabajo - uso ocasional
61,0,26,0.9918,0,TOYOTA,no,M,Semi urbano,Trabajo - uso ocasional
61,0,26,0.9918,0,TOYOTA,no,M,Semi urbano,Trabajo - uso ocasional
62,0,27,0.4795,0,TOYOTA,no,M,Semi urbano,Trabajo - uso ocasional
58,0,36,0.9973,0,HONDA,si,M,Semi urbano,Trabajo - uso cotidiano
62,0,40,0.9452,0,HONDA,si,M,Semi urbano,Trabajo - uso cotidiano
63,0,41,0.0493,0,HONDA,no,M,Semi urbano,Trabajo - uso cotidiano
63,0,41,0.9973,0,HONDA,no,M,Semi urbano,Trabajo - uso cotidiano
34,0,13,0.4329,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
34,0,13,0.5616,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
35,0,14,1,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
36,0,15,0.6,0,NISSAN,si,M,Rural,Trabajo - uso ocasional
28,0,10,0.4603,0,GM,no,F,Semi urbano,Trabajo - uso ocasional
51,0,20,0.3068,0,TOYOTA,si,F,Semi urbano,Trabajo - uso ocasional
52,0,21,0.0219,0,TOYOTA,si,F,Semi urbano,Trabajo - uso ocasional
52,0,21,0.2219,0,TOYOTA,si,F,Semi urbano,Trabajo - uso ocasional
40,0,22,0.4247,0,PEUGEOT,no,M,Rural,Trabajo - uso ocasional
41,0,20,0.8548,0,FORD,no,F,Rural,Trabajo - uso ocasional
42,608.73,21,1,1,FORD,no,F,Rural,Trabajo - uso ocasional
43,0,22,0.9973,0,FORD,no,F,Rural,Trabajo - uso ocasional
44,18687.43,23,0.9973,1,FORD,no,F,Rural,Trabajo - uso ocasional
45,0,24,0.9973,0,FORD,no,F,Rural,Trabajo - uso ocasional
46,0,25,1,0,FORD,no,F,Rural,Trabajo - uso ocasional
43,0,14,0.9973,0,AUDI,no,M,Semi urbano,Trabajo - uso ocasional
44,0,15,1,0,AUDI,no,M,Semi urbano,Trabajo - uso ocasional
45,0,16,0.9973,0,AUDI,no,M,Semi urbano,Trabajo - uso ocasional
46,0,17,0.9973,0,AUDI,no,M,Semi urbano,Trabajo - uso ocasional
47,2349.71,18,0.9863,1,VOLKSWAGEN,no,M,Semi urbano,Trabajo - uso ocasional
50,0,21,0.9973,0,VOLKSWAGEN,no,M,Semi urbano,Trabajo - uso ocasional
51,0,22,0.9973,0,VOLKSWAGEN,no,M,Semi urbano,Trabajo - uso ocasional
37,279.15,16,0.7479,1,VOLKSWAGEN,no,F,Rural,Trabajo - uso ocasional
38,0,17,0.2493,0,VOLKSWAGEN,no,F,Rural,Trabajo - uso ocasional
29,0,8,0.5589,0,PEUGEOT,si,F,Semi urbano,Trabajo - uso cotidiano
30,0,9,0.1507,0,PEUGEOT,si,F,Semi urbano,Trabajo - uso cotidiano
39,0,20,0.9973,0,VOLKSWAGEN,si,M,Semi urbano,Trabajo - uso ocasional
41,0,22,0.2055,0,VOLKSWAGEN,si,M,Semi urbano,Trabajo - uso ocasional
41,0,22,0.4384,0,VOLKSWAGEN,si,M,Semi urbano,Trabajo - uso ocasional
43,2412.43,24,0.9973,1,VOLKSWAGEN,si,M,Semi urbano,Trabajo - uso ocasional
44,0,25,0.4,0,VOLKSWAGEN,si,M,Semi urbano,Trabajo - uso ocasional
44,0,25,0.5973,0,AUDI,no,M,Semi urbano,Trabajo - uso ocasional
40,0,22,0.411,0,VOLKSWAGEN,no,F,Rural,Trabajo - uso ocasional
42,0,24,0.9973,0,VOLKSWAGEN,no,F,Rural,Trabajo - uso ocasional
